id,judul,prompt,thumbs,background,frame,Ref01,Ref02,Ref03,model
D1,ILMU FISIKA,"Ubah foto ini menjadi ilustrasi dengan gaya 3D digital caricature (big head style), dengan proporsi kepala sedikit lebih besar dari tubuh, namun tetap mempertahankan kemiripan wajah (stylized realism).\n\nGunakan gaya Pixar-style / animasi modern dengan tekstur halus, pencahayaan lembut (soft lighting), dan detail wajah yang bersih serta ekspresif.\n\nGunakan komposisi half body (setengah badan) agar fokus tetap pada wajah dan ekspresi karakter.\n\nTema: Jurusan IPA (Fisika modern).\nTempatkan karakter di ruang eksperimen fisika modern atau futuristik, seperti ruang observasi atau ruang teknologi dengan visual energi, gelombang, cahaya, dan elemen ilmiah digital.\n\nJangan tambahkan orang lain di background. Fokus hanya pada satu karakter utama.\n\nKarakter mengenakan pakaian smart casual atau gaya ilmuwan modern, sambil berinteraksi dengan visual energi, hologram, atau menunjuk ke konsep fisika.\n\nTambahkan elemen visual seperti gelombang, cahaya, atau efek energi (glow halus) untuk memberikan kesan dinamis dan futuristik.\n\nTambahkan nametag atau teks label yang jelas bertuliskan: \""FISIKA\"".\nPosisikan secara natural (misalnya di bagian dada seperti badge, atau sebagai elemen desain di background), dengan font yang clean dan mudah dibaca namun tetap menyatu dengan gaya ilustrasi.\n\nGunakan depth of field ringan (background sedikit blur) agar karakter lebih menonjol, dengan nuansa ilustrasi editorial yang mencerminkan dunia sains, energi, dan eksplorasi fisika modern.",https://experia.id/rujakan/images/thumbs/jurusan_fisika.webp,,,,,,gemini
D2,ILMU BIOLOGI,"Ubah foto ini menjadi ilustrasi dengan gaya 3D digital caricature (big head style), dengan proporsi kepala sedikit lebih besar dari tubuh, namun tetap mempertahankan kemiripan wajah (stylized realism).\n\nGunakan gaya Pixar-style / animasi modern dengan tekstur halus, pencahayaan lembut (soft lighting), dan detail wajah yang bersih serta ekspresif.\n\nGunakan komposisi half body (setengah badan) agar fokus tetap pada wajah dan ekspresi karakter.\n\nTema: Jurusan IPA (Biologi modern).\nTempatkan karakter di lingkungan penelitian biologi yang natural dan hidup, seperti greenhouse modern, taman penelitian, atau ruang observasi dengan tanaman dan elemen kehidupan seperti DNA dan alat observasi sederhana.\n\nJangan tambahkan orang lain di background. Fokus hanya pada satu karakter utama.\n\nKarakter mengenakan pakaian kasual rapi atau semi-formal dengan sentuhan ilmuwan, sambil memegang sampel tanaman, buku catatan, atau alat observasi.\n\nTambahkan elemen visual seperti cahaya alami, partikel halus, atau efek kehidupan (soft glow pada DNA atau tanaman) untuk memberikan kesan hidup.\n\nTambahkan nametag atau teks label yang jelas bertuliskan: \""BIOLOGI\"".\nPosisikan secara natural (misalnya di bagian dada seperti badge, atau sebagai elemen desain di background), dengan font yang clean dan mudah dibaca namun tetap menyatu dengan gaya ilustrasi.\n\nGunakan depth of field ringan (background sedikit blur) agar karakter lebih menonjol, dengan nuansa ilustrasi editorial yang mencerminkan dunia sains dan kehidupan biologis.",https://experia.id/rujakan/images/thumbs/jurusan_biologi.webp,,,,,,gemini
D3,ILMU SOSIAL,"Ubah foto ini menjadi ilustrasi dengan gaya 3D digital caricature (big head style), dengan proporsi kepala sedikit lebih besar dari tubuh, namun tetap mempertahankan kemiripan wajah (stylized realism).\n\nGunakan gaya Pixar-style / animasi modern dengan tekstur halus, pencahayaan lembut (soft lighting), dan detail wajah yang bersih serta ekspresif.\n\nGunakan komposisi half body (setengah badan) agar fokus tetap pada wajah dan ekspresi karakter.\n\nTema: Jurusan Sosial (IPS).\nTempatkan karakter di lingkungan yang merepresentasikan aktivitas sosial dan ekonomi, seperti latar kota modern, ruang kerja, atau area publik dengan elemen seperti grafik ekonomi, peta dunia, dokumen, atau layar digital berisi data.\n\nJangan tambahkan orang lain di background. Fokus hanya pada satu karakter utama.\n\nKarakter mengenakan pakaian rapi atau semi-formal (seperti analis, presenter, atau profesional muda), sambil memegang tablet, buku, atau catatan.\n\nTambahkan elemen visual seperti grafik naik-turun, ikon ekonomi, atau peta yang halus sebagai bagian dari background untuk memperkuat tema sosial.\n\nTambahkan nametag atau teks label yang jelas bertuliskan: \""SOSIAL\"".\nPosisikan secara natural (misalnya di bagian dada seperti badge, atau sebagai elemen desain di background), dengan font yang clean dan mudah dibaca namun tetap menyatu dengan gaya ilustrasi.\n\nGunakan depth of field ringan (background sedikit blur) agar karakter lebih menonjol, dengan nuansa ilustrasi editorial yang mencerminkan dunia sosial, ekonomi, dan komunikasi modern.",https://experia.id/rujakan/images/thumbs/jurusan_sosial.webp,,,,,,gemini
D4,ILMU BAHASA,"Ubah foto ini menjadi ilustrasi dengan gaya 3D digital caricature (big head style), dengan proporsi kepala sedikit lebih besar dari tubuh, namun tetap mempertahankan kemiripan wajah (stylized realism).\n\nGunakan gaya Pixar-style / animasi modern dengan tekstur halus, pencahayaan lembut (soft lighting), dan detail wajah yang bersih serta ekspresif.\n\nGunakan komposisi half body (setengah badan) agar fokus tetap pada wajah dan ekspresi karakter.\n\nTema: Sastrawan / dunia sastra (Jurusan Bahasa).\nTempatkan karakter dalam suasana yang puitis dan estetik, seperti perpustakaan klasik, ruang menulis yang hangat, atau dekat jendela dengan cahaya senja yang lembut.\n\nJangan tambahkan orang lain di background. Fokus hanya pada satu karakter utama.\n\nKarakter mengenakan pakaian kasual rapi atau semi-formal dengan sentuhan artistik, sambil memegang buku, pena, atau kertas tulisan.\n\nTambahkan elemen visual seperti lembaran kertas untuk memberikan kesan puitis dan imajinatif.\n\nTambahkan nametag atau teks label yang jelas bertuliskan: \""BAHASA\"".\nPosisikan secara natural (misalnya di bagian dada seperti badge, atau sebagai elemen desain di background), dengan font yang clean dan mudah dibaca namun tetap menyatu dengan gaya ilustrasi.\n\nGunakan pencahayaan hangat (warm lighting) dengan nuansa romantis, serta depth of field ringan (background sedikit blur) agar karakter lebih menonjol.\n\nGaya keseluruhan terasa seperti ilustrasi editorial yang emosional, reflektif, dan penuh makna, menggambarkan seorang penulis atau penyair.",https://experia.id/rujakan/images/thumbs/jurusan_bahasa.webp,,,,,,gemini
D5,ILMU KIMIA,"Ubah foto ini menjadi ilustrasi dengan gaya 3D digital caricature (big head style), dengan proporsi kepala sedikit lebih besar dari tubuh, namun tetap mempertahankan kemiripan wajah (stylized realism).\n\nGunakan gaya Pixar-style / animasi modern dengan tekstur halus, pencahayaan lembut (soft lighting), dan detail wajah yang bersih serta ekspresif.\n\nGunakan komposisi half body (setengah badan) agar fokus tetap pada wajah dan ekspresi karakter.\n\nTema: Jurusan IPA (Kimia modern).\nTempatkan karakter di dalam laboratorium kimia modern dengan elemen seperti tabung reaksi, beaker, cairan berwarna, serta rak alat laboratorium yang tertata rapi.\n\nJangan tambahkan orang lain di background. Fokus hanya pada satu karakter utama.\n\nKarakter mengenakan jas lab putih yang rapi, sambil memegang tabung reaksi atau melakukan eksperimen.\n\nTambahkan elemen visual seperti reaksi kimia ringan (gelembung, asap tipis, atau glow warna-warni halus) untuk memberikan kesan hidup.\n\nTambahkan nametag atau teks label yang jelas bertuliskan: \""KIMIA\"".\nPosisikan secara natural (misalnya di bagian dada seperti badge, atau sebagai elemen desain di background), dengan font yang clean dan mudah dibaca namun tetap menyatu dengan gaya ilustrasi.\n\nGunakan depth of field ringan (background sedikit blur) agar karakter lebih menonjol, dengan nuansa ilustrasi editorial yang mencerminkan dunia eksperimen dan penelitian kimia modern.",https://experia.id/rujakan/images/thumbs/jurusan_kimia.webp,,,,,,gemini
D6,ILMU MATEMATIKA,"Ubah foto ini menjadi ilustrasi dengan gaya 3D digital caricature (big head style), dengan proporsi kepala sedikit lebih besar dari tubuh, namun tetap mempertahankan kemiripan wajah (stylized realism).\n\nGunakan gaya Pixar-style / animasi modern dengan tekstur halus, pencahayaan lembut (soft lighting), dan detail wajah yang bersih serta ekspresif.\n\nGunakan komposisi half body (setengah badan) agar fokus tetap pada wajah dan ekspresi karakter.\n\nTema: Jurusan Matematika.\nTempatkan karakter di dalam ruang belajar modern atau ruang kerja akademik dengan elemen seperti papan tulis berisi rumus matematika, grafik, angka, atau simbol matematika yang tersusun rapi.\n\nJangan tambahkan orang lain di background. Fokus hanya pada satu karakter utama.\n\nKarakter mengenakan pakaian rapi atau semi-formal (kemeja bersih tanpa outer, atau dengan layer minimal seperti blazer tipis terbuka), sambil memegang satu objek yang jelas seperti penggaris, buku tertutup, atau papan kecil berisi rumus (hindari aktivitas menulis atau memegang lebih dari satu objek).\n\nTambahkan nametag atau teks label yang jelas bertuliskan: \""MATEMATIKA\"".\nPosisikan secara natural di area dada dengan ruang yang cukup bersih, dengan font yang clean dan mudah dibaca namun tetap menyatu dengan gaya ilustrasi.\n\nGunakan depth of field ringan (background sedikit blur) agar karakter lebih menonjol, dengan nuansa ilustrasi editorial yang mencerminkan dunia logika, analisis, dan pemikiran matematis.\n\nPastikan tangan terlihat natural, tidak terdistorsi, dan hanya memegang satu objek dengan jelas.",https://experia.id/rujakan/images/thumbs/jurusan_matematika.webp,,,,,,gemini
A1,RIDE DI LAPANGAN,"Image editing task using 3 reference images.\nReference-1: main subject\nReference-2: background\nReference-3: OSIS logo\n\n\n[Task 0: Subject Consistency — CRITICAL]\n* Keep the exact number of people from the original image\n* Do NOT add or remove any person\n* Preserve original group composition and spacing as much as possible\n* Do NOT assume fixed number of subjects\n\nIDENTITY PRESERVATION (CRITICAL):\n* Preserve exact facial identity from the original image\n* Maintain facial structure, proportions, and unique features\n* Do NOT alter face shape, eyes, nose, mouth, or expression\n* Keep original likeness highly recognizable\n* Do NOT re-generate or stylize faces\n* Face must remain identical to the original input (high fidelity)\n\n\n[Task 1: Indonesian SMA Uniform]\nReplace outfit with Indonesian public high school uniform.\n\nRules (HARD LOCK):\n* White shirt, clean, 1 pocket\n* OSIS logo on pocket (exact match, no text, small and proportional, max ~1/3 pocket width, not dominant)\n* No blazer/tie/vest, not office wear\n\nBottom color (HARD LOCK):\n* Light bluish grey similar to #72829f\n* Typical Indonesian SMA uniform color\n* Slight blue tint clearly visible\n* Medium-light tone (NOT dark grey, NOT charcoal, NOT black)\n* Avoid dull or muddy grey\n* Color must appear brighter than neutral grey\n\nCONSISTENCY RULE (IMPORTANT):\n* All bottom clothing (pants and skirts) must use identical color tone (no variation across subjects)\n\nClothing:\n* Male: long pants\n* Female: skirt\n* Hijab:\n  - Long skirt (below knee–ankle), modest\n  - Long sleeves (full arm coverage to wrist)\n  - No visible skin on arms\n* Sleeves follow original (except hijab must be long sleeve)\n\nShoes & socks:\n* Black casual school shoes (canvas, low-top sneakers)\n* Youth casual sneaker style, commonly worn by Indonesian students\n* White or neutral ankle socks (short, visible)\n* NOT mid-calf or long socks\n\nRemove: accessories, layers, non-uniform items\nKeep: face, identity, expression, hairstyle, proportions\nStyle: Indonesian student, natural, not formal\n\n\n[Task 2: Background]\nReplace with reference background. Match lighting, perspective, shadows, seamless blend.\n\n\n[Task 3: Retro Vespa Pose]\nAdd a classic retro Vespa (cream/beige, rounded vintage, realistic scale).\n\nROLE & COMPOSITION (ADAPTIVE):\n* One subject = main rider, sitting on the Vespa (prefer male if present, otherwise choose most central subject)\n* Both hands holding handlebar\n* Vespa slightly facing camera (3/4 angle preferred, not perfectly side)\n* One foot on ground for balance (natural pose)\n\n* Other subjects = positioned naturally around the Vespa (side/front/back), relaxed group pose\n* If multiple subjects: distribute evenly without overlap\n* If only one subject: pose alone with the Vespa naturally\n\n* Do NOT create additional people to satisfy composition\n* Composition must adapt to existing subjects only\n\n\nVEHICLE (HARD LOCK):\n* Classic retro Vespa only (NOT modern scooter)\n* Rounded vintage body shape\n* Clean but slightly realistic finish (not overly glossy)\n* Correct human-to-Vespa scale\n\n\nINTERACTION & REALISM:\n* Hands must correctly grip handlebar\n* Body posture upright and relaxed\n* Feet must touch ground naturally\n* Vespa wheels must align with ground perspective\n\n\nRules:\n* All subjects visible, no overlap on faces\n* No floating, no distortion\n\n\nLighting:\n* Match background lighting\n* Add realistic shadows under subjects and Vespa\n* Ensure proper ground contact (feet–ground, wheels–ground)\n\n\nGROUND INTEGRATION (IMPORTANT):\n* Ground must fully follow the background image (complete replacement)\n* No visible leftover or artifact from the original ground\n\n\nHard constraints:\n* Do NOT use dark grey, charcoal, or near-black tones\n* Keep all original subjects (no extra/missing people)\n* Do NOT add extra people\n* Maintain visual balance (no element overly dominant)\n* Correct scale vs Vespa\n* Retro Vespa only (not modern scooter)\n* Clean, realistic, no artifacts\n\n\nFinal:\nNatural Indonesian senior high school (SMA) group photo with retro Vespa,\ncheerful, relaxed, cohesive, realistic, and properly integrated with background",https://experia.id/rujakan/images/thumbs/vespa_1.webp,,,https://experia.id/rujakan/images/references/spot_1_lapangan.jpg,https://experia.id/rujakan/images/references/logo_osis_sma.png,,seedream
A2,RIDE DEPAN KELAS,"Image editing task using 3 reference images.\nReference-1: main subject\nReference-2: background\nReference-3: OSIS logo\n\n\n[Task 0: Subject Consistency — CRITICAL]\n* Keep the exact number of people from the original image\n* Do NOT add or remove any person\n* Preserve original group composition and spacing as much as possible\n* Do NOT assume fixed number of subjects\n\nIDENTITY PRESERVATION (CRITICAL):\n* Preserve exact facial identity from the original image\n* Maintain facial structure, proportions, and unique features\n* Do NOT alter face shape, eyes, nose, mouth, or expression\n* Keep original likeness highly recognizable\n* Do NOT re-generate or stylize faces\n* Face must remain identical to the original input (high fidelity)\n\n\n[Task 1: Indonesian SMA Uniform]\nReplace outfit with Indonesian public high school uniform.\n\nRules (HARD LOCK):\n* White shirt, clean, 1 pocket\n* OSIS logo on pocket (exact match, no text, small and proportional, max ~1/3 pocket width, not dominant)\n* No blazer/tie/vest, not office wear\n\nBottom color (HARD LOCK):\n* Light bluish grey similar to #72829f\n* Typical Indonesian SMA uniform color\n* Slight blue tint clearly visible\n* Medium-light tone (NOT dark grey, NOT charcoal, NOT black)\n* Avoid dull or muddy grey\n* Color must appear brighter than neutral grey\n\nCONSISTENCY RULE (IMPORTANT):\n* All bottom clothing (pants and skirts) must use identical color tone (no variation across subjects)\n\nClothing:\n* Male: long pants\n* Female: skirt\n* Hijab:\n  - Long skirt (below knee–ankle), modest\n  - Long sleeves (full arm coverage to wrist)\n  - No visible skin on arms\n* Sleeves follow original (except hijab must be long sleeve)\n\nShoes & socks:\n* Black casual school shoes (canvas, low-top sneakers)\n* Youth casual sneaker style, commonly worn by Indonesian students\n* White or neutral ankle socks (short, visible)\n* NOT mid-calf or long socks\n\nRemove: accessories, layers, non-uniform items\nKeep: face, identity, expression, hairstyle, proportions\nStyle: Indonesian student, natural, not formal\n\n\n[Task 2: Background]\nReplace with reference background. Match lighting, perspective, shadows, seamless blend.\n\n\n[Task 3: Retro Vespa Pose]\nAdd a classic retro Vespa (cream/beige, rounded vintage, realistic scale).\n\nROLE & COMPOSITION (ADAPTIVE):\n* One subject = main rider, sitting on the Vespa (prefer male if present, otherwise choose most central subject)\n* Both hands holding handlebar\n* Vespa slightly facing camera (3/4 angle preferred, not perfectly side)\n* One foot on ground for balance (natural pose)\n\n* Other subjects = positioned naturally around the Vespa (side/front/back), relaxed group pose\n* If multiple subjects: distribute evenly without overlap\n* If only one subject: pose alone with the Vespa naturally\n\n* Do NOT create additional people to satisfy composition\n* Composition must adapt to existing subjects only\n\n\nVEHICLE (HARD LOCK):\n* Classic retro Vespa only (NOT modern scooter)\n* Rounded vintage body shape\n* Clean but slightly realistic finish (not overly glossy)\n* Correct human-to-Vespa scale\n\n\nINTERACTION & REALISM:\n* Hands must correctly grip handlebar\n* Body posture upright and relaxed\n* Feet must touch ground naturally\n* Vespa wheels must align with ground perspective\n\n\nRules:\n* All subjects visible, no overlap on faces\n* No floating, no distortion\n\n\nLighting:\n* Match background lighting\n* Add realistic shadows under subjects and Vespa\n* Ensure proper ground contact (feet–ground, wheels–ground)\n\n\nGROUND INTEGRATION (IMPORTANT):\n* Ground must fully follow the background image (complete replacement)\n* No visible leftover or artifact from the original ground\n\n\nHard constraints:\n* Do NOT use dark grey, charcoal, or near-black tones\n* Keep all original subjects (no extra/missing people)\n* Do NOT add extra people\n* Maintain visual balance (no element overly dominant)\n* Correct scale vs Vespa\n* Retro Vespa only (not modern scooter)\n* Clean, realistic, no artifacts\n\n\nFinal:\nNatural Indonesian senior high school (SMA) group photo with retro Vespa,\ncheerful, relaxed, cohesive, realistic, and properly integrated with background",https://experia.id/rujakan/images/thumbs/vespa_2.webp,,,https://experia.id/rujakan/images/references/spot_2_mushola.png,https://experia.id/rujakan/images/references/logo_osis_sma.png,,seedream
A3,RIDE DEPAN GERBANG,"Image editing task using 3 reference images.\nReference-1: main subject\nReference-2: background\nReference-3: OSIS logo\n\n\n[Task 0: Subject Consistency — CRITICAL]\n* Keep the exact number of people from the original image\n* Do NOT add or remove any person\n* Preserve original group composition and spacing as much as possible\n* Do NOT assume fixed number of subjects\n\nIDENTITY PRESERVATION (CRITICAL):\n* Preserve exact facial identity from the original image\n* Maintain facial structure, proportions, and unique features\n* Do NOT alter face shape, eyes, nose, mouth, or expression\n* Keep original likeness highly recognizable\n* Do NOT re-generate or stylize faces\n* Face must remain identical to the original input (high fidelity)\n\n\n[Task 1: Indonesian SMA Uniform]\nReplace outfit with Indonesian public high school uniform.\n\nRules (HARD LOCK):\n* White shirt, clean, 1 pocket\n* OSIS logo on pocket (exact match, no text, small and proportional, max ~1/3 pocket width, not dominant)\n* No blazer/tie/vest, not office wear\n\nBottom color (HARD LOCK):\n* Light bluish grey similar to #72829f\n* Typical Indonesian SMA uniform color\n* Slight blue tint clearly visible\n* Medium-light tone (NOT dark grey, NOT charcoal, NOT black)\n* Avoid dull or muddy grey\n* Color must appear brighter than neutral grey\n\nCONSISTENCY RULE (IMPORTANT):\n* All bottom clothing (pants and skirts) must use identical color tone (no variation across subjects)\n\nClothing:\n* Male: long pants\n* Female: skirt\n* Hijab:\n  - Long skirt (below knee–ankle), modest\n  - Long sleeves (full arm coverage to wrist)\n  - No visible skin on arms\n* Sleeves follow original (except hijab must be long sleeve)\n\nShoes & socks:\n* Black casual school shoes (canvas, low-top sneakers)\n* Youth casual sneaker style, commonly worn by Indonesian students\n* White or neutral ankle socks (short, visible)\n* NOT mid-calf or long socks\n\nRemove: accessories, layers, non-uniform items\nKeep: face, identity, expression, hairstyle, proportions\nStyle: Indonesian student, natural, not formal\n\n\n[Task 2: Background]\nReplace with reference background. Match lighting, perspective, shadows, seamless blend.\n\n\n[Task 3: Retro Vespa Pose]\nAdd a classic retro Vespa (cream/beige, rounded vintage, realistic scale).\n\nROLE & COMPOSITION (ADAPTIVE):\n* One subject = main rider, sitting on the Vespa (prefer male if present, otherwise choose most central subject)\n* Both hands holding handlebar\n* Vespa slightly facing camera (3/4 angle preferred, not perfectly side)\n* One foot on ground for balance (natural pose)\n\n* Other subjects = positioned naturally around the Vespa (side/front/back), relaxed group pose\n* If multiple subjects: distribute evenly without overlap\n* If only one subject: pose alone with the Vespa naturally\n\n* Do NOT create additional people to satisfy composition\n* Composition must adapt to existing subjects only\n\n\nVEHICLE (HARD LOCK):\n* Classic retro Vespa only (NOT modern scooter)\n* Rounded vintage body shape\n* Clean but slightly realistic finish (not overly glossy)\n* Correct human-to-Vespa scale\n\n\nINTERACTION & REALISM:\n* Hands must correctly grip handlebar\n* Body posture upright and relaxed\n* Feet must touch ground naturally\n* Vespa wheels must align with ground perspective\n\n\nRules:\n* All subjects visible, no overlap on faces\n* No floating, no distortion\n\n\nLighting:\n* Match background lighting\n* Add realistic shadows under subjects and Vespa\n* Ensure proper ground contact (feet–ground, wheels–ground)\n\n\nGROUND INTEGRATION (IMPORTANT):\n* Ground must fully follow the background image (complete replacement)\n* No visible leftover or artifact from the original ground\n\n\nHard constraints:\n* Do NOT use dark grey, charcoal, or near-black tones\n* Keep all original subjects (no extra/missing people)\n* Do NOT add extra people\n* Maintain visual balance (no element overly dominant)\n* Correct scale vs Vespa\n* Retro Vespa only (not modern scooter)\n* Clean, realistic, no artifacts\n\n\nFinal:\nNatural Indonesian senior high school (SMA) group photo with retro Vespa,\ncheerful, relaxed, cohesive, realistic, and properly integrated with background",https://experia.id/rujakan/images/thumbs/vespa_3.webp,,,https://experia.id/rujakan/images/references/spot_3_gerbang.jpeg,https://experia.id/rujakan/images/references/logo_osis_sma.png,,seedream
A4,VESPA DI LAPANGAN,"Image editing task using 2 reference images\n\nReference-1: main subject\nReference-2: background\n\n[Task 0: Subject Consistency — CRITICAL]\nKeep the exact number of people from the original image\nDo NOT add or remove any person\nPreserve original group composition and spacing as much as possible\nDo NOT assume fixed number of subjects\nIDENTITY PRESERVATION (CRITICAL):\nPreserve exact facial identity from the original image\nMaintain facial structure, proportions, and unique features\nDo NOT alter face shape, eyes, nose, mouth, or expression\nKeep original likeness highly recognizable\nDo NOT re-generate or stylize faces\nFace must remain identical to the original input (high fidelity)\n[Task 1: Subject Integrity — NO OUTFIT CHANGE]\n\nKeep subjects exactly as they are.\n\nRules (HARD LOCK):\n\nDo NOT change clothing (no uniform conversion)\nDo NOT modify outfit color, texture, or style\nKeep original hairstyle and accessories (minor cleanup allowed)\nPreserve full body proportions\n[Task 2: Background Replacement]\n\nReplace with reference background.\n\nRequirements:\n\nMatch perspective (camera angle, horizon, scale)\nMatch lighting direction and intensity\nAdjust color tone (white balance, exposure)\nAdd realistic shadows under subjects\nEnsure proper ground contact (no floating)\n[Task 3: Retro Vespa Pose]\n\nAdd a classic retro Vespa (cream/beige, rounded vintage, realistic scale).\n\nROLE & COMPOSITION (ADAPTIVE):\nOne subject = main rider (prefer male if present, otherwise most central subject)\nSitting on Vespa, both hands holding handlebar\nVespa angled slightly toward camera (3/4 view)\nOne foot touching ground naturally\nOther subjects = positioned naturally around Vespa (side/front/back)\nRelaxed, cheerful group pose\nDistribute evenly, no overlap\nIf only one subject → pose naturally with Vespa\nDo NOT add extra people\n[Adaptive Pose Adjustment — CRITICAL]\nSecondary subjects MUST adapt their pose to the new scene\nDo NOT rigidly preserve original pose if it conflicts with Vespa composition\nAllow adjustment of:\nBody orientation\nHead direction (gaze)\nStanding position\nKeep identity and body proportions EXACT\nAvoid “copied original pose” that feels disconnected from the scene\n[Group Interaction & Harmony — IMPORTANT]\nAll subjects must feel connected in one moment\nSecondary subjects should:\nSlightly face rider or camera\nAlign direction naturally with the group\nAppear aware of the Vespa and each other\nMaintain consistent posing style across subjects (all casual, relaxed)\nAvoid mismatched posing or conflicting directions\nFor multiple subjects:\nCreate balanced composition (triangle / semi-circle around Vespa)\nMaintain visual rhythm and spacing\nVEHICLE (HARD LOCK):\nClassic retro Vespa ONLY (NOT modern scooter)\nRounded vintage body shape\nCream / beige color\nRealistic scale vs human\nClean, slightly realistic finish (not overly glossy)\nINTERACTION & REALISM:\nHands must correctly grip handlebar\nNatural posture (upright, relaxed)\nFeet must touch ground properly\nVespa wheels aligned with ground perspective\n[Composition Rules — HARD LOCK]:\nAll subjects visible\nNo face overlap\nNo distortion (limbs, body, Vespa)\nMaintain natural spacing\nMaintain group balance\n[Lighting & Integration]:\nFollow background lighting source\nAdd realistic shadows (subjects + Vespa)\nEnsure strong ground contact (feet & wheels)\nApply subtle ambient color reflection if needed\n[GROUND INTEGRATION — IMPORTANT]:\nFully replace original ground\nNo leftover artifacts\nSeamless blending with background\n[Hard Constraints]:\nNo extra people\nNo missing subjects\nNo floating elements\nNo artifacts or glitches\nMaintain visual balance (no element overly dominant)\nCorrect scale between subjects and Vespa\n[Final Goal]:\n\nNatural, realistic group photo with a retro Vespa,\ncheerful, relaxed, cohesive,\nperfectly blended with the background,\nwhile preserving 100% original identity and appearance.",https://experia.id/rujakan/images/thumbs/vespa_4.webp,,,https://experia.id/rujakan/images/references/spot_1_lapangan.jpg,,,seedream
